0,2
1,10
2,9
3,6
4,4
5,19
6,2
7,14
8,4
9,8
10,8
11,2
12,9
13,3
14,15
15,13
16,3
17,3
18,7
19,9
20,4
21,14
22,8
23,15
24,2
25,15
26,7
27,0
28,2
29,10
30,9
31,2
32,15
33,15
34,3
35,4
36,10
37,7
38,3
39,2
40,2
41,2
42,16
43,10
44,7
45,8
46,7
47,7
48,0
49,5
50,7
51,9
52,15
53,15
54,9
55,3
56,3
57,15
58,3
59,3
60,17
61,5
62,15
63,15
64,1
65,10
66,15
67,14
68,2
69,9
70,14
71,1
72,7
73,14
74,11
75,14
76,3
77,10
78,17
79,4
80,14
81,3
82,15
83,2
84,7
85,3
86,0
87,14
88,15
89,2
90,5
91,9
92,16
93,4
94,4
95,15
96,0
97,14
98,0
99,2
100,3
101,4
102,0
103,15
104,4
105,15
106,8
107,4
108,15
109,10
110,6
111,15
112,2
113,15
114,4
115,1
116,10
117,7
118,12
119,3
120,15
121,10
122,11
123,15
124,10
125,18
126,4
127,15
128,10
129,0
130,15
131,10
132,15
133,10
134,15
135,3
136,3
